,Sample_ID,Lane,TubeID,Mom,Strain,O2,Sex,Order,Set,Group,Sex_Group,FoodCon,F.Mass_GD1,F.Mass_GD14.5,Start_AvgLean,F.Mass_Gain,Hb,Lung,Lung_drymass,RV,LV_Sep,Lung_H20,HctAv,Gluc,Seq_Name,Seq Read FWD,Seq Read REV,resid_FoodCon,resid_F.Mass_GD1,resid_F.Mass_GD14.5,resid_F.Mass_Gain,resid_Lung,resid_Lung_drymass,resid_RV,resid_LV_Sep,resid_Lung_H20,scaled_FoodCon,scaled_F.Mass_GD1,scaled_F.Mass_GD14.5,scaled_Start_AvgLean,scaled_F.Mass_Gain,scaled_Hb,scaled_Lung,scaled_Lung_drymass,scaled_RV,scaled_LV_Sep,scaled_Lung_H20,scaled_HctAv,scaled_Gluc
1,W239,L003,W239,BW101,BW,2H,M,1,Set1a,BW2H,BW2H_M,46.11,22.4,24.42,19.58,2.02,15,0.171,0.0359,0.0362,0.0926,0.1351,53.40222576,182,RNA210809ZC_Set1a_W239_S32_L003_fastp_pman_Halign_liberal.bam,RNA210809ZC_Set1a_W239_S32_L003_R1_001.fastq.gz,RNA210809ZC_Set1a_W239_S32_L003_R2_001.fastq.gz,-3.898687681,-0.720026541,0.403030866,1.123057408,0.018449037,0.003982278,0.004155171,0.000644277,-0.000168817,-0.508897935,0.106695837,0.821988104,0.581589492,1.10568367,0.746173347,1.104351957,1.178985502,0.975091622,0.311834909,1.126347806,0.946859548,0.389192326
2,W241,L003,W241,BW101,BW,2H,M,2,Set1a,BW2H,BW2H_M,46.11,22.4,24.42,19.58,2.02,15,0.171,0.0359,0.0362,0.0926,0.1351,53.40222576,182,RNA210809ZC_Set1a_W241_S29_L003_fastp_pman_Halign_liberal.bam,RNA210809ZC_Set1a_W241_S29_L003_R1_001.fastq.gz,RNA210809ZC_Set1a_W241_S29_L003_R2_001.fastq.gz,-3.898687681,-0.720026541,0.403030866,1.123057408,0.018449037,0.003982278,0.004155171,0.000644277,-0.000168817,-0.508897935,0.106695837,0.821988104,0.581589492,1.10568367,0.746173347,1.104351957,1.178985502,0.975091622,0.311834909,1.126347806,0.946859548,0.389192326
3,W243,L003,W243,BW102,BW,1N,F,3,Set1a,BW1N,BW1N_F,NA,NA,NA,19.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,RNA210809ZC_Set1a_W243_S36_L003_fastp_pman_Halign_liberal.bam,RNA210809ZC_Set1a_W243_S36_L003_R1_001.fastq.gz,RNA210809ZC_Set1a_W243_S36_L003_R2_001.fastq.gz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.250645502,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,W244,L003,W244,BW102,BW,1N,F,4,Set1a,BW1N,BW1N_F,NA,NA,NA,19.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,RNA210809ZC_Set1a_W244_S28_L003_fastp_pman_Halign_liberal.bam,RNA210809ZC_Set1a_W244_S28_L003_R1_001.fastq.gz,RNA210809ZC_Set1a_W244_S28_L003_R2_001.fastq.gz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.250645502,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,W245,L003,W245,BW107,BW,1N,F,5,Set1a,BW1N,BW1N_F,52.91,24.13,24.94,20.45,0.81,12.8,0.1454,0.0293,0.0268,0.0916,0.1161,44.26045834,191,RNA210809ZC_Set1a_W245_S27_L003_fastp_pman_Halign_liberal.bam,RNA210809ZC_Set1a_W245_S27_L003_R1_001.fastq.gz,RNA210809ZC_Set1a_W245_S27_L003_R2_001.fastq.gz,0.212766537,0.003406929,0.077310847,0.073903917,-0.017261531,-0.00441704,-0.009240558,-0.005916054,0.006801376,0.446401031,1.162275522,1.168050491,1.181425474,-0.15614294,-0.862292543,0.013360954,-0.214925703,-0.185938389,0.239315163,0.144536063,-1.031250166,0.822640635
6,W246,L003,W246,BW107,BW,1N,M,6,Set1a,BW1N,BW1N_M,52.91,24.13,24.94,20.45,0.81,12.8,0.1454,0.0293,0.0268,0.0916,0.1161,44.26045834,191,RNA210809ZC_Set1a_W246_S34_L003_fastp_pman_Halign_liberal.bam,RNA210809ZC_Set1a_W246_S34_L003_R1_001.fastq.gz,RNA210809ZC_Set1a_W246_S34_L003_R2_001.fastq.gz,0.212766537,0.003406929,0.077310847,0.073903917,-0.017261531,-0.00441704,-0.009240558,-0.005916054,0.006801376,0.446401031,1.162275522,1.168050491,1.181425474,-0.15614294,-0.862292543,0.013360954,-0.214925703,-0.185938389,0.239315163,0.144536063,-1.031250166,0.822640635
7,W261,L003,W261,BW116,BW,2H,F,7,Set1a,BW2H,BW2H_F,59.32,26.09,25.8,21.81666667,-0.29,15.1,0.1794,0.0377,0.0503,0.111,0.1417,54.39495331,203,RNA210809ZC_Set1a_W261_S31_L003_fastp_pman_Halign_liberal.bam,RNA210809ZC_Set1a_W261_S31_L003_R1_001.fastq.gz,RNA210809ZC_Set1a_W261_S31_L003_R2_001.fastq.gz,2.399380431,0.382210462,-0.391214858,-0.77342532,0.000855967,0.001156446,0.007982625,0.004749328,-0.000651597,1.346910792,2.35819239,1.74038444,2.12369656,-1.303258039,0.819285433,1.462333379,1.559143104,2.716636637,1.646198241,1.467398201,1.161667465,1.400571715
8,W262,L003,W262,BW116,BW,2H,M,8,Set1a,BW2H,BW2H_M,59.32,26.09,25.8,21.81666667,-0.29,15.1,0.1794,0.0377,0.0503,0.111,0.1417,54.39495331,203,RNA210809ZC_Set1a_W262_S30_L003_fastp_pman_Halign_liberal.bam,RNA210809ZC_Set1a_W262_S30_L003_R1_001.fastq.gz,RNA210809ZC_Set1a_W262_S30_L003_R2_001.fastq.gz,2.399380431,0.382210462,-0.391214858,-0.77342532,0.000855967,0.001156446,0.007982625,0.004749328,-0.000651597,1.346910792,2.35819239,1.74038444,2.12369656,-1.303258039,0.819285433,1.462333379,1.559143104,2.716636637,1.646198241,1.467398201,1.161667465,1.400571715
9,W264,L003,W264,BW115,BW,2H,M,9,Set1a,BW2H,BW2H_M,43.34,22.14,22.79,18.87333333,0.65,14.8,0.1599,0.0336,0.0272,0.0805,0.1263,50.80707733,138,RNA210809ZC_Set1a_W264_S37_L003_fastp_pman_Halign_liberal.bam,RNA210809ZC_Set1a_W264_S37_L003_R1_001.fastq.gz,RNA210809ZC_Set1a_W264_S37_L003_R2_001.fastq.gz,-4.484888031,-0.162432269,-0.540024134,-0.377591865,0.015561452,0.003143793,-0.001599256,-0.006939287,8.14E-05,-0.898041779,-0.051946196,-0.262784381,0.094366393,-0.322996045,0.599949176,0.631305077,0.693228567,-0.136532856,-0.565654021,0.671613946,0.385317335,-1.729888298
10,W268,L003,268,BW118,BW,2H,M,10,Set1a,BW2H,BW2H_M,NA,NA,NA,18.29666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,RNA210809ZC_Set1a_W268_S33_L003_fastp_pman_Halign_liberal.bam,RNA210809ZC_Set1a_W268_S33_L003_R1_001.fastq.gz,RNA210809ZC_Set1a_W268_S33_L003_R2_001.fastq.gz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.303226035,NA,NA,NA,NA,NA,NA,NA,NA,NA
