,Sample_ID_LZ,LZ_Lane,Sample_ID_JZ,JZ_Lane,TubeID,Mom,Strain,O2,Sex,Group,Sex_Group,LZ_Seq_Name,Placenta,Fetus,LS,C,Stage,Viable,FoodCon,F.Mass_GD1,F.Mass_GD18.5,F.Mass_Gain,Start_AvgLean,Hb,Lung,Lung_drymass,RV,LV_Sep,Lung_H20,HctAv,Gluc,resid_FoodCon,resid_F.Mass_GD1,resid_F.Mass_GD18.5,resid_F.Mass_Gain,resid_Lung,resid_Lung_drymass,resid_RV,resid_LV_Sep,resid_Lung_H20,scaled_FoodCon,scaled_F.Mass_GD1,scaled_F.Mass_GD18.5,scaled_F.Mass_Gain,scaled_Start_AvgLean,scaled_Hb,scaled_Lung,scaled_Lung_drymass,scaled_RV,scaled_LV_Sep,scaled_Lung_H20,scaled_HctAv,scaled_Gluc
40,LZ002,L001,JZ002,L004,2,ME15,ME,1N,M,ME1N,ME1N_M,RNA201216ZC_LZ002_S39_L001_fastp_pman_Halign_liberal.bam,0.1104,0.3859,8,N,23,Y,64.28,30.7,37.31,6.61,22.71333333,11.6,0.2595,0.055,0.0296,0.1204,0.2045,NA,151,-12.6576715,1.935406448,-0.150497316,-2.085903764,0.041148959,0.00765348,0.001320305,0.016853825,0.007458754,-0.43126121,1.547549176,0.801220459,-0.43605725,1.054521687,-1.687906759,2.198946147,1.976205875,0.413320694,1.737250933,2.239781189,NA,0.153081275
41,LZ003,L001,JZ003,L004,3,ME15,ME,1N,F,ME1N,ME1N_F,RNA201216ZC_LZ003_S40_L001_fastp_pman_Halign_liberal.bam,0.1473,0.3812,8,N,23,Y,64.28,30.7,37.31,6.61,22.71333333,11.6,0.2595,0.055,0.0296,0.1204,0.2045,NA,151,-12.6576715,1.935406448,-0.150497316,-2.085903764,0.041148959,0.00765348,0.001320305,0.016853825,0.007458754,-0.43126121,1.547549176,0.801220459,-0.43605725,1.054521687,-1.687906759,2.198946147,1.976205875,0.413320694,1.737250933,2.239781189,NA,0.153081275
42,LZ006,L002,JZ006,L004,6,ME22,ME,2H,F,ME2H,ME2H_F,RNA201216ZC_LZ006_S79_L002_fastp_pman_Halign_liberal.bam,0.1327,0.3727,8,N,23,Y,57.88,26.54,35.27,8.73,21.30333333,14.3,0.1946,0.0425,0.0398,0.0929,0.1521,51.9792577,137,-15.68915013,-0.451719945,0.269688706,0.721408652,-0.011587654,-0.002005359,0.012508597,-0.003141193,-0.002948805,-0.788591538,0.127012136,0.32782346,0.420487296,0.334513433,0.244371196,-0.221395447,-0.114639523,1.94565035,0.013819589,-0.249456774,0.409965939,-0.297527196
43,LZ007,L002,JZ007,L004,7,ME22,ME,2H,M,ME2H,ME2H_M,RNA201216ZC_LZ007_S80_L002_fastp_pman_Halign_liberal.bam,0.1438,0.3657,8,N,23,Y,57.88,26.54,35.27,8.73,21.30333333,14.3,0.1946,0.0425,0.0398,0.0929,0.1521,51.9792577,137,-15.68915013,-0.451719945,0.269688706,0.721408652,-0.011587654,-0.002005359,0.012508597,-0.003141193,-0.002948805,-0.788591538,0.127012136,0.32782346,0.420487296,0.334513433,0.244371196,-0.221395447,-0.114639523,1.94565035,0.013819589,-0.249456774,0.409965939,-0.297527196
44,LZ009,L002,JZ009,L003,9,ME24,ME,2H,F,ME2H,ME2H_F,RNA201216ZC_LZ009_S81_L002_fastp_pman_Halign_liberal.bam,0.1721,0.4033,8,N,23,Y,53.08,28.43,35.67,7.24,22.36666667,15.6,0.2374,0.0515,0.0274,0.0921,0.1859,53.88031336,123,-23.02947714,0.101290258,-1.185628896,-1.286919154,0.022039484,0.004852016,-0.00063671,-0.009600979,0.000616638,-1.056589284,0.772400359,0.420646401,-0.181518069,0.877498384,1.174727248,1.37476203,1.390769164,0.082818219,-0.036316595,1.356196721,0.825820341,-0.748135667
45,LZ010,L002,JZ010,L003,10,ME24,ME,2H,F,ME2H,ME2H_F,RNA201216ZC_LZ010_S82_L002_fastp_pman_Halign_liberal.bam,0.1219,0.4348,8,N,23,Y,53.08,28.43,35.67,7.24,22.36666667,15.6,0.2374,0.0515,0.0274,0.0921,0.1859,53.88031336,123,-23.02947714,0.101290258,-1.185628896,-1.286919154,0.022039484,0.004852016,-0.00063671,-0.009600979,0.000616638,-1.056589284,0.772400359,0.420646401,-0.181518069,0.877498384,1.174727248,1.37476203,1.390769164,0.082818219,-0.036316595,1.356196721,0.825820341,-0.748135667
46,LZ013,L001,JZ013,L004,13,ME5,ME,1N,M,ME1N,ME1N_M,RNA201216ZC_LZ013_S22_L001_fastp_pman_Halign_liberal.bam,0.1251,0.3587,7,N,23,Y,44.01,21.72,26.33,4.61,17.56666667,14.4,0.1632,0.035,0.0221,0.0786,0.1282,53.11341827,130,-20.63217036,-0.573395336,-2.150527545,-1.577132209,-0.010753241,-0.001975949,-0.002572314,0.002447896,-0.00165334,-1.562993359,-1.51889857,-1.746769271,-1.244118142,-1.573593542,0.315937046,-1.392408175,-1.369146763,-0.713392288,-0.882364709,-1.384815311,0.658062655,-0.522831431
47,LZ015,L001,JZ015,L004,15,ME5,ME,1N,M,ME1N,ME1N_M,RNA201216ZC_LZ015_S23_L001_fastp_pman_Halign_liberal.bam,0.1167,0.3365,7,N,23,Y,44.01,21.72,26.33,4.61,17.56666667,14.4,0.1632,0.035,0.0221,0.0786,0.1282,53.11341827,130,-20.63217036,-0.573395336,-2.150527545,-1.577132209,-0.010753241,-0.001975949,-0.002572314,0.002447896,-0.00165334,-1.562993359,-1.51889857,-1.746769271,-1.244118142,-1.573593542,0.315937046,-1.392408175,-1.369146763,-0.713392288,-0.882364709,-1.384815311,0.658062655,-0.522831431
48,LZ021,L002,JZ021,L003,21,ME10,ME,2H,F,ME2H,ME2H_F,RNA201216ZC_LZ021_S54_L002_fastp_pman_Halign_liberal.bam,0.1363,0.5411,8,N,23,Y,43.97,22.75,30.35,7.6,18.62333333,14.2,0.1885,0.0394,0.0196,0.0721,0.1491,49.59914207,139,-23.19657051,-0.872002735,0.025786961,0.897789696,0.005431407,0.00029486,-0.005812949,-0.009676405,0.004465321,-1.565226673,-1.167179062,-0.813898714,-0.036067108,-1.034012893,0.172805346,-0.44888518,-0.633169182,-1.088963282,-1.289721209,-0.391970398,-0.110682449,-0.233154557
49,LZ023,L002,JZ023,L003,23,ME10,ME,2H,M,ME2H,ME2H_M,RNA201216ZC_LZ023_S83_L002_fastp_pman_Halign_liberal.bam,0.1199,0.5256,8,N,23,Y,43.97,22.75,30.35,7.6,18.62333333,14.2,0.1885,0.0394,0.0196,0.0721,0.1491,49.59914207,139,-23.19657051,-0.872002735,0.025786961,0.897789696,0.005431407,0.00029486,-0.005812949,-0.009676405,0.004465321,-1.565226673,-1.167179062,-0.813898714,-0.036067108,-1.034012893,0.172805346,-0.44888518,-0.633169182,-1.088963282,-1.289721209,-0.391970398,-0.110682449,-0.233154557
